collec_recid,collec_ref,site,year,month,day,date_iso,time_iso,day_c,site_id,temperature,humidity,wind-speed,cloud-cover,filght-activity,nest-activity,notes,,,
1,1,T1,10,11,23,2010-11-23,10:00:00,1,T1101,,,,,,,Start survey,,,
2,2,T1,10,11,24,2010-11-24,10:00:00,2,T1102,21.5,53%,1.2,,L,L,,,,
3,3,T1,10,11,26,2010-11-26,10:00:00,3,T1103,,,,,L,L,,,,
4,4,T1,10,11,28,2010-11-28,10:00:00,4,T1104,20.9,59%,2.5,,M,M,,,,
5,5,T1,10,11,29,2010-11-29,10:00:00,5,T1105,22.5,70%,1.2,70%,M,M,,,,
6,6,T1,10,11,30,2010-11-30,10:00:00,6,T1106,23.4,56%,1.9,40%,M,M,,,,
7,7,T1,10,12,1,2010-12-01,10:00:00,7,T1107,19.5,76%,1.4,60%,M,H,,,,
8,8,T1,10,11,2,2010-11-02,10:00:00,8,T1108,19.5,64%,1.1,70%,L,L,,,,
9,9,T1,10,11,5,2010-11-05,10:00:00,9,T1109,19.8,75%,1.2,60%,M,L,,,,
10,10,T1,10,11,6,2010-11-06,10:00:00,10,T11010,20.3,62%,1.4,5%,H,H,,,,
11,11,T1,10,11,8,2010-11-08,10:00:00,11,T11011,20.3,63%,1.1,60%,M,L,,,,
12,12,T1,10,11,9,2010-11-09,10:00:00,12,T11012,18.5,58%,2.4,10%,H,M,,,,
13,13,T1,10,11,10,2010-11-10,10:00:00,13,T11013,26.0,48%,1.2,5%,H,M,,,,
14,14,T1,10,12,11,2010-12-11,10:00:00,14,T11014,22.3,49%,1.4,10%,,,,,,
15,15,T1,10,12,12,2010-12-12,10:00:00,15,T11015,22.9,69%,3.7,,H,H,,,,
16,16,T1,10,12,13,2010-12-13,10:00:00,16,T11016,20.9,69%,4.2,,M,L,,,,
17,1,P2,10,11,23,2010-11-23,11:00:00,1,P2101,21.5,65%,3.0,,,,Start survey,,,
18,2,P2,10,11,24,2010-11-24,11:00:00,2,P2102,23.6,47%,1.1,10%,M,M,,,,
19,3,P2,10,11,26,2010-11-26,11:00:00,3,P2103,20.0,66%,1.3,60%,M,M,,,,
20,4,P2,10,11,28,2010-11-28,11:00:00,4,P2104,,,,,,,,,,
21,5,P2,10,11,29,2010-11-29,11:00:00,5,P2105,24.2,66%,1.4,40%,M,M,,,,
22,6,P2,10,11,30,2010-11-30,11:00:00,6,P2106,23.5,58%,1.8,40%,M,H,,,,
23,7,P2,10,11,1,2010-11-01,11:00:00,7,P2107,23.2,65%,0.1,60%,M,M,,,,
24,8,P2,10,11,2,2010-11-02,11:00:00,8,P2108,15.9,72%,3.6,20%,M,L,,,,wind-speed in meters per second
25,9,P2,10,11,5,2010-11-05,11:00:00,9,P2109,26.0,59%,0.1,30%,M,M,,,,subjective percentage cloud-cover
26,10,P2,10,11,6,2010-11-06,11:00:00,10,P21010,26.5,57%,1.1,5%,H,H,,,,
27,11,P2,10,11,8,2010-11-08,11:00:00,11,P21011,21.5,62%,1.1,,,,,,,
28,12,P2,10,11,9,2010-11-09,11:00:00,12,P21012,25.5,47%,0.1,0%,H,H,,,,
29,13,P2,10,11,10,2010-11-10,11:00:00,13,P21013,24.3,47%,1.3,0%,H,H,,,,
30,14,P2,10,12,11,2010-12-11,11:00:00,14,P21014,24.1,49%,3.6,5%,H,H,,,,
31,15,P2,10,12,12,2010-12-12,11:00:00,15,P21015,21.8,65%,1.6,10%,H,H,,,,
32,16,P2,10,12,13,2010-12-13,11:00:00,16,P21016,23.1,58%,1.3,5%,M,M,,,,
33,1,T1,11,11,11,2011-11-11,08:30:00,1,T1111,16.4,68%,0.7,,L,L,Start survey,,,
34,2,T1,11,11,12,2011-11-12,08:30:00,2,T1112,15.3,58%,0.8,,L,L,,,,
35,3,T1,11,11,13,2011-11-13,09:00:00,3,T1113,17.5,62%,0.1,60%,L,L,,,,
36,4,T1,11,11,14,2011-11-14,08:00:00,4,T1114,16.1,66%,0.1,,,,,,,
37,5,T1,11,11,15,2011-11-15,08:30:00,5,T1115,17.8,67%,0.8,,,,,,,
38,6,T1,11,11,16,2011-11-16,08:30:00,6,T1116,17.5,58%,0.0,,,,,,,
39,7,T1,11,11,17,2011-11-17,,7,T1117,,,,,,,,,,
40,8,T1,11,11,18,2011-11-18,,8,T1118,17.3,68%,0.6,,,,,,,
41,9,T1,11,11,21,2011-11-21,08:30:00,9,T1119,18.8,64%,0.7,10%,,,,,,
42,10,T1,11,11,22,2011-11-22,08:30:00,10,T11110,21.4,60%,0.0,10%,M,M,,,,
43,11,T1,11,11,23,2011-11-23,08:30:00,11,T11111,20.6,60%,2.1,10%,M,M,,,,
44,12,T1,11,11,24,2011-11-24,08:30:00,12,T11112,15.1,79%,0.9,60%,L,L,,,,
45,13,T1,11,11,28,2011-11-28,08:30:00,13,T11113,25.3,58%,0.0,60%,M,L,,,,
46,14,T1,11,12,7,2011-12-07,08:30:00,14,T11114,20.2,74%,0.6,20%,M,M,,,,
47,15,T1,11,12,9,2011-12-09,,15,T11115,,,,,,,,,,
48,16,T1,11,12,20,2011-12-20,,16,T11116,,,,,,,,,,
49,1,P2,11,11,11,2011-11-11,10:40:00,1,P2111,28.1,41%,0.1,,L,L,Start survey,,,
50,2,P2,11,11,12,2011-11-12,09:30:00,2,P2112,30.5,49%,0.0,,L,L,,,,
51,3,P2,11,11,13,2011-11-13,10:20:00,3,P2113,27.1,43%,0.0,,L,L,,,,
52,4,P2,11,11,14,2011-11-14,10:30:00,4,P2114,26.5,51%,0.7,,,,,,,
53,5,P2,11,11,15,2011-11-15,10:00:00,5,P2115,22.8,50%,0.6,,,,,,,
54,6,P2,11,11,16,2011-11-16,,6,P2116,23.4,78%,2.2,,,,,,,
55,7,P2,11,11,17,2011-11-17,,7,P2117,31.1,35%,0.1,,,,,,,
56,8,P2,11,11,18,2011-11-18,,8,P2118,24.4,49%,0.0,,M,M,,,,
57,9,P2,11,11,21,2011-11-21,10:30:00,9,P2119,21.9,61%,0.7,10%,M,H,,,,
58,10,P2,11,11,22,2011-11-22,11:00:00,10,P21110,28.0,49%,2.4,10%,M,M,,,,
59,11,P2,11,11,23,2011-11-23,,11,P21111,,,,,,,,,,
60,12,P2,11,11,24,2011-11-24,10:30:00,12,P21112,21.8,68%,2.9,,M,M,,,,
61,13,P2,11,11,28,2011-11-28,10:30:00,13,P21113,21.6,61%,1.1,,M,L,,,,
62,14,P2,11,12,7,2011-12-07,11:00:00,14,P21114,22.2,84%,1.8,10%,H,H,,,,
63,15,P2,11,12,9,2011-12-09,12:30:00,15,P21115,20.5,68%,1.5,,,,,,,
64,16,P2,11,12,20,2011-12-20,12:30:00,16,P21116,19.6,61%,1.5,,H,H,,,,
65,1,M3,11,11,11,2011-11-11,12:00:00,1,M3111,,,,,L,L,Start survey,,,
