mca_recid,mca_refsite,mca_refd,site,year,img_fid,img_flink,day_c,img_c,grid_id,autoc
1,1,1,T1,10,110111,T110111.jpg,1,1,1,
2,2,2,T1,10,110121,T110121.jpg,1,1,2,
3,3,3,T1,10,110131,T110131.jpg,1,1,3,
4,4,4,T1,10,110141,T110141.jpg,1,1,4,
5,5,5,T1,10,110211,T110211.jpg,1,2,1,
6,6,6,T1,10,110221,T110221.jpg,1,2,2,
7,7,7,T1,10,110231,T110231.jpg,1,2,3,
8,8,8,T1,10,110241,T110241.jpg,1,2,4,
9,9,9,T1,10,110311,T110311.jpg,1,3,1,
10,10,10,T1,10,110321,T110321.jpg,1,3,2,
11,11,11,T1,10,110331,T110331.jpg,1,3,3,
12,12,12,T1,10,110341,T110341.jpg,1,3,4,
13,13,1,T1,10,110112,T110112.jpg,2,1,1,
14,14,2,T1,10,110122,T110122.jpg,2,1,2,
15,15,3,T1,10,110132,T110132.jpg,2,1,3,
16,16,4,T1,10,110142,T110142.jpg,2,1,4,
17,17,5,T1,10,110212,T110212.jpg,2,2,1,
18,18,6,T1,10,110222,T110222.jpg,2,2,2,
19,19,7,T1,10,110232,T110232.jpg,2,2,3,
20,20,8,T1,10,110242,T110242.jpg,2,2,4,
21,21,9,T1,10,110312,T110312.jpg,2,3,1,
22,22,10,T1,10,110322,T110322.jpg,2,3,2,
23,23,11,T1,10,110332,T110332.jpg,2,3,3,
24,24,12,T1,10,110342,T110342.jpg,2,3,4,
25,25,1,T1,10,110113,T110113.jpg,3,1,1,
26,26,2,T1,10,110123,T110123.jpg,3,1,2,
27,27,3,T1,10,110133,T110133.jpg,3,1,3,
28,28,4,T1,10,110143,T110143.jpg,3,1,4,
29,29,5,T1,10,110213,T110213.jpg,3,2,1,
30,30,6,T1,10,110223,T110223.jpg,3,2,2,
31,31,7,T1,10,110233,T110233.jpg,3,2,3,
32,32,8,T1,10,110243,T110243.jpg,3,2,4,
33,33,9,T1,10,110313,T110313.jpg,3,3,1,
34,34,10,T1,10,110323,T110323.jpg,3,3,2,
35,35,11,T1,10,110333,T110333.jpg,3,3,3,
36,36,12,T1,10,110343,T110343.jpg,3,3,4,
37,37,1,T1,10,110114,T110114.jpg,4,1,1,
38,38,2,T1,10,110124,T110124.jpg,4,1,2,
39,39,3,T1,10,110134,T110134.jpg,4,1,3,
40,40,4,T1,10,110144,T110144.jpg,4,1,4,
41,41,5,T1,10,110214,T110214.jpg,4,2,1,
42,42,6,T1,10,110224,T110224.jpg,4,2,2,
43,43,7,T1,10,110234,T110234.jpg,4,2,3,
44,44,8,T1,10,110244,T110244.jpg,4,2,4,
45,45,9,T1,10,110314,T110314.jpg,4,3,1,
46,46,10,T1,10,110324,T110324.jpg,4,3,2,
47,47,11,T1,10,110334,T110334.jpg,4,3,3,
48,48,12,T1,10,110344,T110344.jpg,4,3,4,
49,49,1,T1,10,110115,T110115.jpg,5,1,1,
50,50,2,T1,10,110125,T110125.jpg,5,1,2,
51,51,3,T1,10,110135,T110135.jpg,5,1,3,
52,52,4,T1,10,110145,T110145.jpg,5,1,4,
53,53,5,T1,10,110215,T110215.jpg,5,2,1,
54,54,6,T1,10,110225,T110225.jpg,5,2,2,
55,55,7,T1,10,110235,T110235.jpg,5,2,3,
56,56,8,T1,10,110245,T110245.jpg,5,2,4,
57,57,9,T1,10,110315,T110315.jpg,5,3,1,
58,58,10,T1,10,110325,T110325.jpg,5,3,2,
59,59,11,T1,10,110335,T110335.jpg,5,3,3,
60,60,12,T1,10,110346,T110346.jpg,6,3,4,
61,61,1,T1,10,110116,T110116.jpg,6,1,1,
62,62,2,T1,10,110126,T110126.jpg,6,1,2,
63,63,3,T1,10,110136,T110136.jpg,6,1,3,
64,64,4,T1,10,110146,T110146.jpg,6,1,4,
65,65,5,T1,10,110216,T110216.jpg,6,2,1,
66,66,6,T1,10,110226,T110226.jpg,6,2,2,
67,67,7,T1,10,110236,T110236.jpg,6,2,3,
68,68,8,T1,10,110246,T110246.jpg,6,2,4,
69,69,9,T1,10,110316,T110316.jpg,6,3,1,
70,70,10,T1,10,110326,T110326.jpg,6,3,2,
71,71,11,T1,10,110336,T110336.jpg,6,3,3,
72,72,12,T1,10,110346,T110346.jpg,6,3,4,
73,73,1,T1,10,110117,T110117.jpg,7,1,1,
74,74,2,T1,10,110127,T110127.jpg,7,1,2,
75,75,3,T1,10,110137,T110137.jpg,7,1,3,
76,76,4,T1,10,110147,T110147.jpg,7,1,4,
77,77,5,T1,10,110217,T110217.jpg,7,2,1,
78,78,6,T1,10,110227,T110227.jpg,7,2,2,
79,79,7,T1,10,110237,T110237.jpg,7,2,3,
80,80,8,T1,10,110247,T110247.jpg,7,2,4,
81,81,9,T1,10,110317,T110317.jpg,7,3,1,
82,82,10,T1,10,110327,T110327.jpg,7,3,2,
