mci_recid,mci_refsite,mci_refday,site,year,img_fid,img_flink,img_cid,day_c,rep_nci,grid_id,mnci_ob1,mnci_ob2
1,1,1,T1,10,110111,T110111.jpg,1,1,1,1,,
2,2,2,T1,10,110121,T110121.jpg,1,1,1,2,,
3,3,3,T1,10,110131,T110131.jpg,1,1,1,3,,
4,4,4,T1,10,110141,T110141.jpg,1,1,1,4,,
5,5,5,T1,10,110111,T110111.jpg,1,1,2,1,,
6,6,6,T1,10,110121,T110121.jpg,1,1,2,2,,
7,7,7,T1,10,110131,T110131.jpg,1,1,2,3,,
8,8,8,T1,10,110141,T110141.jpg,1,1,2,4,,
9,9,9,T1,10,110111,T110111.jpg,1,1,3,1,,
10,10,10,T1,10,110121,T110121.jpg,1,1,3,2,,
11,11,11,T1,10,110131,T110131.jpg,1,1,3,3,,
12,12,12,T1,10,110141,T110141.jpg,1,1,3,4,,
13,13,1,T1,10,110112,T110112.jpg,1,2,1,1,,
14,14,2,T1,10,110122,T110122.jpg,1,2,1,2,,
15,15,3,T1,10,110132,T110132.jpg,1,2,1,3,,
16,16,4,T1,10,110142,T110142.jpg,1,2,1,4,,
17,17,5,T1,10,110112,T110112.jpg,1,2,2,1,,
18,18,6,T1,10,110122,T110122.jpg,1,2,2,2,,
19,19,7,T1,10,110132,T110132.jpg,1,2,2,3,,
20,20,8,T1,10,110142,T110142.jpg,1,2,2,4,,
21,21,9,T1,10,110112,T110112.jpg,1,2,3,1,,
22,22,10,T1,10,110122,T110122.jpg,1,2,3,2,,
23,23,11,T1,10,110132,T110132.jpg,1,2,3,3,,
24,24,12,T1,10,110142,T110142.jpg,1,2,3,4,,
25,25,1,T1,10,110113,T110113.jpg,1,3,1,1,,
26,26,2,T1,10,110123,T110123.jpg,1,3,1,2,,
27,27,3,T1,10,110133,T110133.jpg,1,3,1,3,,
28,28,4,T1,10,110143,T110143.jpg,1,3,1,4,,
29,29,5,T1,10,110113,T110113.jpg,1,3,2,1,,
30,30,6,T1,10,110123,T110123.jpg,1,3,2,2,,
31,31,7,T1,10,110133,T110133.jpg,1,3,2,3,,
32,32,8,T1,10,110143,T110143.jpg,1,3,2,4,,
33,33,9,T1,10,110113,T110113.jpg,1,3,3,1,,
34,34,10,T1,10,110123,T110123.jpg,1,3,3,2,,
35,35,11,T1,10,110133,T110133.jpg,1,3,3,3,,
36,36,12,T1,10,110143,T110143.jpg,1,3,3,4,,
37,37,1,T1,10,110114,T110114.jpg,1,4,1,1,,
38,38,2,T1,10,110124,T110124.jpg,1,4,1,2,,
39,39,3,T1,10,110134,T110134.jpg,1,4,1,3,,
40,40,4,T1,10,110144,T110144.jpg,1,4,1,4,,
41,41,5,T1,10,110114,T110114.jpg,1,4,2,1,,
