collec_recid,collec_ref,site,year,month,day,date_iso,time_iso,day_c,site_id,temperature,humidity,wind-speed,cloud-cover,filght-activity,nest-activity,notes
1,1,T1,13,11,18,2013-11-18,09:30:00,1,T1131,24.0,61%,0.4,20%,M,M,
2,2,T1,13,11,19,2013-11-19,11:00:00,2,T1132,28.0,46%,0.5,70%,M,M,
3,3,T1,13,11,21,2013-11-21,10:30:00,3,T1133,20.4,67%,0.5,100%,L,L,
4,4,T1,13,11,22,2013-11-22,10:30:00,4,T1134,20.0,61%,0.5,80%,,,
5,5,T1,13,11,23,2013-11-23,09:00:00,5,T1135,20.2,69%,0.4,50%,,,
6,6,T1,13,11,24,2013-11-24,09:50:00,6,T1136,21.0,68%,0.4,,H,H,
7,7,T1,13,11,25,2013-11-25,10:00:00,7,T1137,23.0,53%,0.1,10%,H,H,
8,8,T1,13,11,26,2013-11-26,11:00:00,8,T1138,27.0,55%,0.3,40%,H,H,
9,9,T1,13,11,28,2013-11-28,11:00:00,9,T1139,26.0,51%,0.0,20%,M,M,
10,10,T1,13,11,29,2013-11-29,12:00:00,10,T11310,26.0,52%,0.3,40%,H,H,
11,1,P2,13,11,18,2013-11-18,11:00:00,1,P2131,27.0,64%,0.1,20%,L,L,
12,2,P2,13,11,19,2013-11-19,12:00:00,2,P2132,27.3,51%,0.8,80%,M,M,
13,3,P2,13,11,21,2013-11-21,11:00:00,3,P2133,21.7,70%,0.4,80%,M,M,
14,4,P2,13,11,22,2013-11-22,11:00:00,4,P2134,22.0,61%,0.4,90%,M,M,
15,5,P2,13,11,23,2013-11-23,10:00:00,5,P2135,22.2,62%,1.0,30%,,,cell_ph images
16,6,P2,13,11,24,2013-11-24,10:00:00,6,P2136,26.0,61%,0.1,,H,H,
17,7,P2,13,11,25,2013-11-25,11:00:00,7,P2137,22.0,48%,1.1,20%,H,H,
18,8,P2,13,11,26,2013-11-26,12:00:00,8,P2138,25.0,70%,0.2,100%,M,M,
19,9,P2,13,11,28,2013-11-28,11:00:00,9,P2139,25.0,55%,0.5,20%,M,M,
20,10,P2,13,11,29,2013-11-29,12:30:00,10,P21310,29.0,47%,0.2,30%,M,M,
21,1,M3,13,11,18,2013-11-18,11:30:00,1,M3131,28.0,47%,0.0,,,,
22,2,M3,13,11,19,2013-11-19,12:30:00,2,M3132,29.0,51%,0.0,90%,L,L,
23,3,M3,13,11,21,2013-11-21,11:30:00,3,M3133,23.3,62%,0.7,80%,,,cell_ph images
24,4,M3,13,11,22,2013-11-22,11:30:00,4,M3134,24.0,58%,0.4,40%,,,
25,5,M3,13,11,23,2013-11-23,10:30:00,5,M3135,25.0,56%,1.0,20%,,,
26,6,M3,13,11,24,2013-11-24,10:30:00,6,M3136,22.0,57%,0.6,,,,
27,7,M3,13,11,25,2013-11-25,11:20:00,7,M3137,24.0,45%,0.3,5%,,,
28,8,M3,13,11,26,2013-11-26,12:30:00,8,M3138,27.0,65%,0.0,50%,M,M,
29,9,M3,13,11,28,2013-11-28,11:50:00,9,M3139,32.0,44%,0.3,40%,M,M,
30,10,M3,13,11,29,2013-11-29,13:00:00,10,M31310,31.0,37%,0.8,80%,M,M,
